catalog,category,subcategory,risk_data_type,title_collection,title_short,description_collection,title_item,description_item,spatial_scale,bbox,reference_period,temporal_coverage,temporal_interval,scenarios,data_type,data_format,spatial_resolution,spatial_resolution_unit,coordinate_reference_system,source_type,analysis_type,underlying_data,provider_name,provider_role,license,data_overview_link,publication_link,publication_type,code_link,code_type,usage_notes,asset_links,name_contributor
exposure-vulnerability,land use,land use/land cover footprints,exposure,Current and Future Global Maps Data,Aqueduct 4.0,"This dataset provides users with Aqueduct™ 4.0, the latest iteration of WRI’s water risk framework designed to translate complex hydrological data into intuitive indicators of water-related risk. It consists of 13 baseline water risk indicators spanning quantity, quality, and reputational concerns. Aqueduct 4.0 adds new future projections of water supply, demand, stress, depletion, and variability based on CMIP6 climate projections for 3 milestone years: 2030, 2050, and 2080.",Water Stress historic,"Aqueduct Baseline Water Stress from 1979-2019, provided at sub-basin scale",(near-)global,"-180, -90, 180, 90",historical,1979-2019,monthly,,tabular,csv,hydrological sub-basins,,4326,modeled,,Several data sources (see methodology for further details),Aqueduct,producer,CC-BY-4.0,https://www.wri.org/data/aqueduct-global-maps-40-data,10.46830/writn.23.00061,article,,,"The water stress indicator is a proxy for competition on water, as it accounts for both multi-sectoral water demand, relative to the abundance of water. Aqueduct data is provided at sub-basin scale. These data can be interesected with the area of interest, so to derieve an aggregate value weighted by the relative area of each catchment with the area of interest.",https://files.wri.org/aqueduct/aqueduct-4-0-water-risk-data.zip,Silvia Artuso
exposure-vulnerability,land use,land use/land cover footprints,exposure,Current and Future Global Maps Data,Aqueduct 4.0,"This dataset provides users with Aqueduct™ 4.0, the latest iteration of WRI’s water risk framework designed to translate complex hydrological data into intuitive indicators of water-related risk. It consists of 13 baseline water risk indicators spanning quantity, quality, and reputational concerns. Aqueduct 4.0 adds new future projections of water supply, demand, stress, depletion, and variability based on CMIP6 climate projections for 3 milestone years: 2030, 2050, and 2080.",Water Stress future,"Aqueduct Baseline Water Stress from 2030-2080, provided at sub-basin scale",(near-)global,"-180, -90, 180, 90",future,2030-2080,monthly,SSP-RCP combinations,tabular,csv,hydrological sub-basins,,4326,modeled,,Several data sources (see methodology for further details),Aqueduct,producer,CC-BY-4.0,https://www.wri.org/data/aqueduct-global-maps-40-data,10.46830/writn.23.00061,article,,,"The water stress indicator is a proxy for competition on water, as it accounts for both multi-sectoral water demand, relative to the abundance of water. Aqueduct data is provided at sub-basin scale. These data can be interesected with the area of interest, so to derieve an aggregate value weighted by the relative area of each catchment with the area of interest.",https://files.wri.org/aqueduct/aqueduct-4-0-water-risk-data.zip,Silvia Artuso
exposure-vulnerability,land use,land use/land cover footprints,exposure,ESA Land Cover Climate Change Initiative,CCI,"The ESA Land Cover Climate Change Initiative Project is part of the European Space Agency's Climate Change Initiative to produce long term datasets of Essential Climate Variables (ECV's) from historic satellite data. Land cover is defined as the (bio) physical cover at the earth surface including grass, trees, bare ground and water. Land cover is fundamental to better understand the climate through the estimation and validation of fluxes of water, carbon, and energy. It plays a role in adaptation and mitigation assessments at various scales.",Global plant functional types,"This dataset contains Global Plant Functional Types (PFT) data, from the ESA Medium Resolution Land Cover (MRLC) Climate Change Initiative project. The data provides yearly data, and initially covers the time period from 1992 to 2020. It is anticipated that the dataset will be updated annually going forward. The PFT v2.0.8 global dataset has 14 layers, each describing the percentage cover (0-100%) of a plant functional type at a spatial resolution of 300 m. ""Plant Functional Types” (PFTs) refer to globally representative and similarly behaving plant types. ",(near-)global,"-180, -85, 180, 85",historical,1992-2020,yearly,,raster,netcdf,10,arc seconds,4326,modeled,,satellite imagery,European Space Agency (ESA),producer,CC-BY-4.0,https://climate.esa.int/en/data/#/,10.5285/26a0f46c95ee4c29b5c650b129aab788,dataset,,,,https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/pft/v2.0.8/ESACCI-LC-L4-PFT-Map-300m-P1Y-1992-v2.0.8.nc?download=1 https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/pft/v2.0.8/ESACCI-LC-L4-PFT-Map-300m-P1Y-1993-v2.0.8.nc?download=1 https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/pft/v2.0.8/ESACCI-LC-L4-PFT-Map-300m-P1Y-1994-v2.0.8.nc? https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/pft/v2.0.8/ESACCI-LC-L4-PFT-Map-300m-P1Y-1995-v2.0.8.nc?download=1 https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/pft/v2.0.8/ESACCI-LC-L4-PFT-Map-300m-P1Y-1996-v2.0.8.nc?download=1 https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/pft/v2.0.8/ESACCI-LC-L4-PFT-Map-300m-P1Y-1997-v2.0.8.nc?download=1 https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/pft/v2.0.8/ESACCI-LC-L4-PFT-Map-300m-P1Y-1998-v2.0.8.nc?download=1 https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/pft/v2.0.8/ESACCI-LC-L4-PFT-Map-300m-P1Y-1999-v2.0.8.nc?download=1 https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/pft/v2.0.8/ESACCI-LC-L4-PFT-Map-300m-P1Y-2000-v2.0.8.nc?download=1 https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/pft/v2.0.8/ESACCI-LC-L4-PFT-Map-300m-P1Y-2001-v2.0.8.nc?download=1 https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/pft/v2.0.8/ESACCI-LC-L4-PFT-Map-300m-P1Y-2002-v2.0.8.nc?download=1 https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/pft/v2.0.8/ESACCI-LC-L4-PFT-Map-300m-P1Y-2003-v2.0.8.nc?download=1 https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/pft/v2.0.8/ESACCI-LC-L4-PFT-Map-300m-P1Y-2004-v2.0.8.nc?download=1 https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/pft/v2.0.8/ESACCI-LC-L4-PFT-Map-300m-P1Y-2005-v2.0.8.nc?download=1 https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/pft/v2.0.8/ESACCI-LC-L4-PFT-Map-300m-P1Y-2006-v2.0.8.nc?download=1 https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/pft/v2.0.8/ESACCI-LC-L4-PFT-Map-300m-P1Y-2007-v2.0.8.nc?download=1 https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/pft/v2.0.8/ESACCI-LC-L4-PFT-Map-300m-P1Y-2008-v2.0.8.nc?download=1 https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/pft/v2.0.8/ESACCI-LC-L4-PFT-Map-300m-P1Y-2009-v2.0.8.nc?download=1 https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/pft/v2.0.8/ESACCI-LC-L4-PFT-Map-300m-P1Y-2010-v2.0.8.nc?download=1 https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/pft/v2.0.8/ESACCI-LC-L4-PFT-Map-300m-P1Y-2011-v2.0.8.nc?download=1 https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/pft/v2.0.8/ESACCI-LC-L4-PFT-Map-300m-P1Y-2012-v2.0.8.nc?download=1 https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/pft/v2.0.8/ESACCI-LC-L4-PFT-Map-300m-P1Y-2013-v2.0.8.nc?download=1 https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/pft/v2.0.8/ESACCI-LC-L4-PFT-Map-300m-P1Y-2014-v2.0.8.nc?download=1 https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/pft/v2.0.8/ESACCI-LC-L4-PFT-Map-300m-P1Y-2015-v2.0.8.nc?download=1 https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/pft/v2.0.8/ESACCI-LC-L4-PFT-Map-300m-P1Y-2016-v2.0.8.nc?download=1 https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/pft/v2.0.8/ESACCI-LC-L4-PFT-Map-300m-P1Y-2017-v2.0.8.nc?download=1 https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/pft/v2.0.8/ESACCI-LC-L4-PFT-Map-300m-P1Y-2018-v2.0.8.nc?download=1 https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/pft/v2.0.8/ESACCI-LC-L4-PFT-Map-300m-P1Y-2019-v2.0.8.nc?download=1 https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/pft/v2.0.8/ESACCI-LC-L4-PFT-Map-300m-P1Y-2020-v2.0.8.nc?download=1,Lena Reimann
exposure-vulnerability,land use,land use/land cover footprints,exposure,ESA Land Cover Climate Change Initiative,CCI,"The ESA Land Cover Climate Change Initiative Project is part of the European Space Agency's Climate Change Initiative to produce long term datasets of Essential Climate Variables (ECV's) from historic satellite data. Land cover is defined as the (bio) physical cover at the earth surface including grass, trees, bare ground and water. Land cover is fundamental to better understand the climate through the estimation and validation of fluxes of water, carbon, and energy. It plays a role in adaptation and mitigation assessments at various scales.",Global land cover maps geotiff,As part of the ESA Land Cover Climate Change Initiative (CCI) project a new set of Global Land Cover Maps have been produced. These maps are available at 300m spatial resolution for each year between 1992 and 2015. Each pixel value corresponds to the classification of a land cover class defined based on the UN Land Cover Classification System (LCCS). ,(near-)global,"-180, -85, 180, 85",historical,1992-2015,yearly,,raster,geotiff,10,arc seconds,4326,modeled,,satellite imagery,European Space Agency (ESA),producer,CC-BY-4.0,https://climate.esa.int/en/data/#/,https://catalogue.ceda.ac.uk/uuid/b382ebe6679d44b8b0e68ea4ef4b701c,dataset,,,User guide available at https://climate.esa.int/media/documents/CCI_Land_Cover_PUG_v2.0.pdf,https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/land_cover_maps/v2.0.7/ESACCI-LC-L4-LCCS-Map-300m-P1Y-1992-v2.0.7.tif?download=1 https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/land_cover_maps/v2.0.7/ESACCI-LC-L4-LCCS-Map-300m-P1Y-1993-v2.0.7.tif?download=1 https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/land_cover_maps/v2.0.7/ESACCI-LC-L4-LCCS-Map-300m-P1Y-1994-v2.0.7.tif?download=1  https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/land_cover_maps/v2.0.7/ESACCI-LC-L4-LCCS-Map-300m-P1Y-1995-v2.0.7.tif?download=1 https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/land_cover_maps/v2.0.7/ESACCI-LC-L4-LCCS-Map-300m-P1Y-1996-v2.0.7.tif?download=1 https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/land_cover_maps/v2.0.7/ESACCI-LC-L4-LCCS-Map-300m-P1Y-1997-v2.0.7.tif?download=1 https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/land_cover_maps/v2.0.7/ESACCI-LC-L4-LCCS-Map-300m-P1Y-1998-v2.0.7.tif?download=1 https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/land_cover_maps/v2.0.7/ESACCI-LC-L4-LCCS-Map-300m-P1Y-1999-v2.0.7.tif?download=1 https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/land_cover_maps/v2.0.7/ESACCI-LC-L4-LCCS-Map-300m-P1Y-2000-v2.0.7.tif?download=1 https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/land_cover_maps/v2.0.7/ESACCI-LC-L4-LCCS-Map-300m-P1Y-2001-v2.0.7.tif?download=1 https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/land_cover_maps/v2.0.7/ESACCI-LC-L4-LCCS-Map-300m-P1Y-2002-v2.0.7.tif?download=1 https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/land_cover_maps/v2.0.7/ESACCI-LC-L4-LCCS-Map-300m-P1Y-2003-v2.0.7.tif?download=1 https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/land_cover_maps/v2.0.7/ESACCI-LC-L4-LCCS-Map-300m-P1Y-2004-v2.0.7.tif?download=1 https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/land_cover_maps/v2.0.7/ESACCI-LC-L4-LCCS-Map-300m-P1Y-2005-v2.0.7.tif?download=1 https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/land_cover_maps/v2.0.7/ESACCI-LC-L4-LCCS-Map-300m-P1Y-2006-v2.0.7.tif?download=1 https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/land_cover_maps/v2.0.7/ESACCI-LC-L4-LCCS-Map-300m-P1Y-2007-v2.0.7.tif?download=1 https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/land_cover_maps/v2.0.7/ESACCI-LC-L4-LCCS-Map-300m-P1Y-2008-v2.0.7.tif?download=1 https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/land_cover_maps/v2.0.7/ESACCI-LC-L4-LCCS-Map-300m-P1Y-2009-v2.0.7.tif?download=1 https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/land_cover_maps/v2.0.7/ESACCI-LC-L4-LCCS-Map-300m-P1Y-2010-v2.0.7.tif?download=1 https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/land_cover_maps/v2.0.7/ESACCI-LC-L4-LCCS-Map-300m-P1Y-2011-v2.0.7.tif?download=1 https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/land_cover_maps/v2.0.7/ESACCI-LC-L4-LCCS-Map-300m-P1Y-2012-v2.0.7.tif?download=1 https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/land_cover_maps/v2.0.7/ESACCI-LC-L4-LCCS-Map-300m-P1Y-2013-v2.0.7.tif?download=1 https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/land_cover_maps/v2.0.7/ESACCI-LC-L4-LCCS-Map-300m-P1Y-2014-v2.0.7.tif?download=1 https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/land_cover_maps/v2.0.7/ESACCI-LC-L4-LCCS-Map-300m-P1Y-2015-v2.0.7.tif?download=1,Lena Reimann
exposure-vulnerability,land use,land use/land cover footprints,exposure,ESA Land Cover Climate Change Initiative,CCI,"The ESA Land Cover Climate Change Initiative Project is part of the European Space Agency's Climate Change Initiative to produce long term datasets of Essential Climate Variables (ECV's) from historic satellite data. Land cover is defined as the (bio) physical cover at the earth surface including grass, trees, bare ground and water. Land cover is fundamental to better understand the climate through the estimation and validation of fluxes of water, carbon, and energy. It plays a role in adaptation and mitigation assessments at various scales.",Global land cover maps netcdf,As part of the ESA Land Cover Climate Change Initiative (CCI) project a new set of Global Land Cover Maps have been produced. These maps are available at 300m spatial resolution for each year between 1992 and 2015. Each pixel value corresponds to the classification of a land cover class defined based on the UN Land Cover Classification System (LCCS). ,(near-)global,"-180, -85, 180, 85",historical,1992-2015,yearly,,raster,netcdf,10,arc seconds,4326,modeled,,satellite imagery,European Space Agency (ESA),producer,CC-BY-4.0,https://climate.esa.int/en/data/#/,https://catalogue.ceda.ac.uk/uuid/b382ebe6679d44b8b0e68ea4ef4b701c,dataset,,,User guide available at https://climate.esa.int/media/documents/CCI_Land_Cover_PUG_v2.0.pdf,https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/land_cover_maps/v2.0.7/ESACCI-LC-L4-LCCS-Map-300m-P1Y-1992-v2.0.7b.nc?download=1 https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/land_cover_maps/v2.0.7/ESACCI-LC-L4-LCCS-Map-300m-P1Y-1993-v2.0.7b.nc?download=1 https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/land_cover_maps/v2.0.7/ESACCI-LC-L4-LCCS-Map-300m-P1Y-1994-v2.0.7b.nc?download=1  https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/land_cover_maps/v2.0.7/ESACCI-LC-L4-LCCS-Map-300m-P1Y-1995-v2.0.7b.nc?download=1 https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/land_cover_maps/v2.0.7/ESACCI-LC-L4-LCCS-Map-300m-P1Y-1996-v2.0.7b.nc?download=1 https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/land_cover_maps/v2.0.7/ESACCI-LC-L4-LCCS-Map-300m-P1Y-1997-v2.0.7b.nc?download=1 https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/land_cover_maps/v2.0.7/ESACCI-LC-L4-LCCS-Map-300m-P1Y-1998-v2.0.7b.nc?download=1 https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/land_cover_maps/v2.0.7/ESACCI-LC-L4-LCCS-Map-300m-P1Y-1999-v2.0.7b.nc?download=1 https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/land_cover_maps/v2.0.7/ESACCI-LC-L4-LCCS-Map-300m-P1Y-2000-v2.0.7b.nc?download=1 https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/land_cover_maps/v2.0.7/ESACCI-LC-L4-LCCS-Map-300m-P1Y-2001-v2.0.7b.nc?download=1 https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/land_cover_maps/v2.0.7/ESACCI-LC-L4-LCCS-Map-300m-P1Y-2002-v2.0.7b.nc?download=1 https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/land_cover_maps/v2.0.7/ESACCI-LC-L4-LCCS-Map-300m-P1Y-2003-v2.0.7b.nc?download=1 https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/land_cover_maps/v2.0.7/ESACCI-LC-L4-LCCS-Map-300m-P1Y-2004-v2.0.7b.nc?download=1 https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/land_cover_maps/v2.0.7/ESACCI-LC-L4-LCCS-Map-300m-P1Y-2005-v2.0.7b.nc?download=1 https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/land_cover_maps/v2.0.7/ESACCI-LC-L4-LCCS-Map-300m-P1Y-2006-v2.0.7b.nc?download=1 https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/land_cover_maps/v2.0.7/ESACCI-LC-L4-LCCS-Map-300m-P1Y-2007-v2.0.7b.nc?download=1 https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/land_cover_maps/v2.0.7/ESACCI-LC-L4-LCCS-Map-300m-P1Y-2008-v2.0.7b.nc?download=1 https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/land_cover_maps/v2.0.7/ESACCI-LC-L4-LCCS-Map-300m-P1Y-2009-v2.0.7b.nc?download=1 https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/land_cover_maps/v2.0.7/ESACCI-LC-L4-LCCS-Map-300m-P1Y-2010-v2.0.7b.nc?download=1 https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/land_cover_maps/v2.0.7/ESACCI-LC-L4-LCCS-Map-300m-P1Y-2011-v2.0.7b.nc?download=1 https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/land_cover_maps/v2.0.7/ESACCI-LC-L4-LCCS-Map-300m-P1Y-2012-v2.0.7b.nc?download=1 https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/land_cover_maps/v2.0.7/ESACCI-LC-L4-LCCS-Map-300m-P1Y-2013-v2.0.7b.nc?download=1 https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/land_cover_maps/v2.0.7/ESACCI-LC-L4-LCCS-Map-300m-P1Y-2014-v2.0.7b.nc?download=1 https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/land_cover_maps/v2.0.7/ESACCI-LC-L4-LCCS-Map-300m-P1Y-2015-v2.0.7b.nc?download=1,Lena Reimann
exposure-vulnerability,land use,urban/built-up footprints,exposure,Consistent and Corrected Nighttime Lights,CCNL,"DMSP-OLS provides the longest observations of NTL information, from 1992 to 2013, an unparalleled dataset for studying historical artificial lights. Version 4 of the DMSP-OLS Nighttime Lights Time Series is widely used ( Image and data processing by NOAA's National Geophysical Data Center. DMSP data collected by US Air Force Weather Agency ). However, it suffers from three main problems: inter-annual inconsistency, saturation, and blooming effect. We used a  series of methods to mitigate the impact and improve data quality. After processing, we get consistent and corrected nighttime light dataset (CCNL).",CCNL,"DMSP-OLS provides the longest observations of NTL information, from 1992 to 2013, an unparalleled dataset for studying historical artificial lights. Version 4 of the DMSP-OLS Nighttime Lights Time Series is widely used ( Image and data processing by NOAA's National Geophysical Data Center. DMSP data collected by US Air Force Weather Agency ). However, it suffers from three main problems: inter-annual inconsistency, saturation, and blooming effect. We used a  series of methods to mitigate the impact and improve data quality. After processing, we get consistent and corrected nighttime light dataset (CCNL).",(near-)global,"-180, -65, 180, 75",historical,1992-2013,yearly,,raster,geotiff,30,arc seconds,4326,modeled,,DMSP data,Zenodo,host,CC-BY-4.0,https://zenodo.org/record/6644980#.Y0bLPy8Rru4,10.1038/s41597-022-01540-x,article,10.5281/zenodo.6100284,processing,,https://zenodo.org/records/6644980/files/CCNL_DMSP_1992_V1.tif?download=1 https://zenodo.org/records/6644980/files/CCNL_DMSP_1993_V1.tif?download=1 https://zenodo.org/records/6644980/files/CCNL_DMSP_1994_V1.tif?download=1 https://zenodo.org/records/6644980/files/CCNL_DMSP_1995_V1.tif?download=1 https://zenodo.org/records/6644980/files/CCNL_DMSP_1996_V1.tif?download=1 https://zenodo.org/records/6644980/files/CCNL_DMSP_1997_V1.tif?download=1 https://zenodo.org/records/6644980/files/CCNL_DMSP_1998_V1.tif?download=1 https://zenodo.org/records/6644980/files/CCNL_DMSP_1999_V1.tif?download=1 https://zenodo.org/records/6644980/files/CCNL_DMSP_2000_V1.tif?download=1 https://zenodo.org/records/6644980/files/CCNL_DMSP_2001_V1.tif?download=1 https://zenodo.org/records/6644980/files/CCNL_DMSP_2002_V1.tif?download=1 https://zenodo.org/records/6644980/files/CCNL_DMSP_2003_V1.tif?download=1 https://zenodo.org/records/6644980/files/CCNL_DMSP_2004_V1.tif?download=1 https://zenodo.org/records/6644980/files/CCNL_DMSP_2005_V1.tif?download=1 https://zenodo.org/records/6644980/files/CCNL_DMSP_2006_V1.tif?download=1 https://zenodo.org/records/6644980/files/CCNL_DMSP_2007_V1.tif?download=1 https://zenodo.org/records/6644980/files/CCNL_DMSP_2008_V1.tif?download=1 https://zenodo.org/records/6644980/files/CCNL_DMSP_2009_V1.tif?download=1 https://zenodo.org/records/6644980/files/CCNL_DMSP_2010_V1.tif?download=1 https://zenodo.org/records/6644980/files/CCNL_DMSP_2011_V1.tif?download=1 https://zenodo.org/records/6644980/files/CCNL_DMSP_2012_V1.tif?download=1 https://zenodo.org/records/6644980/files/CCNL_DMSP_2013_V1.tif?download=1,Lena Reimann
exposure-vulnerability,infrastructure,infrastructure footprints,exposure,Critical Infrastructure Spatial Index,CISI,"The Critical Infrastructure Spatial Index (CISI) is calculated from 39 critical infrastructure types (e.g. airports, clinics, landfills, reservoirs, schools) downloaded from Open Street Map (OSM).",Index 0.1 dec deg,CISI at a spatial resolution of 0.1 decimal degrees,(near-)global,"-180, -90, 180, 90",historical,2021,,,raster,geotiff,0.1,decimal degrees,4326,modeled,equal weighting,Open Street Map (OSM),Zenodo,host,CC-BY-4.0,https://zenodo.org/records/4957647,10.1038/s41597-022-01218-4 ,article,10.5281/zenodo.4819987,processing,The CISI is developed from OSM data and its spatial coverage depends on the completeness of OSM records.,https://zenodo.org/records/4957647/files/CISI.zip?download=1,Lena Reimann
exposure-vulnerability,infrastructure,infrastructure footprints,exposure,Critical Infrastructure Spatial Index,CISI,"The Critical Infrastructure Spatial Index (CISI) is calculated from 39 critical infrastructure types (e.g. airports, clinics, landfills, reservoirs, schools) downloaded from Open Street Map (OSM).",Index 0.25 dec deg,CISI at a spatial resolution of 0.25 decimal degrees,(near-)global,"-180, -90, 180, 90",historical,2021,,,raster,geotiff,0.25,decimal degrees,4326,modeled,equal weighting,Open Street Map (OSM),Zenodo,host,CC-BY-4.0,https://zenodo.org/records/4957647,10.1038/s41597-022-01218-4 ,article,10.5281/zenodo.4819987,processing,The CISI is developed from OSM data and its spatial coverage depends on the completeness of OSM records.,https://zenodo.org/records/4957647/files/CISI.zip?download=1,Lena Reimann
exposure-vulnerability,infrastructure,infrastructure footprints,exposure,Critical Infrastructure Spatial Index,CISI,"The Critical Infrastructure Spatial Index (CISI) is calculated from 39 critical infrastructure types (e.g. airports, clinics, landfills, reservoirs, schools) downloaded from Open Street Map (OSM).",Types 0.1 dec deg,CISI infrastructure types at a spatial resolution of 0.1 decimal degrees,(near-)global,"-180, -90, 180, 90",historical,2021,,,raster,geotiff,0.1,decimal degrees,4326,modeled,equal weighting,Open Street Map (OSM),Zenodo,host,CC-BY-4.0,https://zenodo.org/records/4957647,10.1038/s41597-022-01218-4 ,article,10.5281/zenodo.4819988,processing,The CISI is developed from OSM data and its spatial coverage depends on the completeness of OSM records.,https://zenodo.org/records/4957647/files/Amount_of_infrastructure.zip?download=1,Lena Reimann
exposure-vulnerability,infrastructure,infrastructure footprints,exposure,Critical Infrastructure Spatial Index,CISI,"The Critical Infrastructure Spatial Index (CISI) is calculated from 39 critical infrastructure types (e.g. airports, clinics, landfills, reservoirs, schools) downloaded from Open Street Map (OSM).",Types 0.25 dec deg,CISI infrastructure types at a spatial resolution of 0.25 decimal degrees,(near-)global,"-180, -90, 180, 90",historical,2021,,,raster,geotiff,0.25,decimal degrees,4326,modeled,equal weighting,Open Street Map (OSM),Zenodo,host,CC-BY-4.0,https://zenodo.org/records/4957647,10.1038/s41597-022-01218-4 ,article,10.5281/zenodo.4819989,processing,The CISI is developed from OSM data and its spatial coverage depends on the completeness of OSM records.,https://zenodo.org/records/4957647/files/Amount_of_infrastructure.zip?download=1,Lena Reimann
