"file","row_number","title_item","link","status","success"
"csv/hazard.csv",4,"GEHE increase","https://sedac.ciesin.columbia.edu/downloads/data/sdei/sdei-high-res-extreme-heat-estimates-1983-2016/sdei-high-res-extreme-heat-estimates-1983-2016-wbgtmax-trends-geotiff.zip","Timeout was reached [sedac.ciesin.columbia.edu]:
Connection timed out after 10003 milliseconds",FALSE
"csv/hazard.csv",5,"GEHE WBGTmax 28 degrees C","https://sedac.ciesin.columbia.edu/downloads/data/sdei/sdei-high-res-extreme-heat-estimates-1983-2016/sdei-high-res-extreme-heat-estimates-1983-2016-wbgtmax28-counts-geotiff.zip","Timeout was reached [sedac.ciesin.columbia.edu]:
Connection timed out after 10001 milliseconds",FALSE
"csv/hazard.csv",6,"GEHE WBGTmax 30 degrees C","https://sedac.ciesin.columbia.edu/downloads/data/sdei/sdei-high-res-extreme-heat-estimates-1983-2016/sdei-high-res-extreme-heat-estimates-1983-2016-wbgtmax30-counts-geotiff.zip","Timeout was reached [sedac.ciesin.columbia.edu]:
Connection timed out after 10009 milliseconds",FALSE
"csv/hazard.csv",7,"GEHE WBGTmax 32 degrees C","https://sedac.ciesin.columbia.edu/downloads/data/sdei/sdei-high-res-extreme-heat-estimates-1983-2016/sdei-high-res-extreme-heat-estimates-1983-2016-wbgtmax32-counts-geotiff.zip","Timeout was reached [sedac.ciesin.columbia.edu]:
Connection timed out after 10017 milliseconds",FALSE
"csv/hazard.csv",8,"Heat index future","https://cds-beta.climate.copernicus.eu/datasets/sis-extreme-indices-cmip6?tab=download","SSL peer certificate or SSH remote key was not OK [cds-beta.climate.copernicus.eu]:
schannel: SEC_E_UNTRUSTED_ROOT (0x80090325) - The certificate chain was issued by an authority that is not trusted.",FALSE
"csv/hazard.csv",9,"Heat index historical","https://cds-beta.climate.copernicus.eu/datasets/sis-extreme-indices-cmip6?tab=download","SSL peer certificate or SSH remote key was not OK [cds-beta.climate.copernicus.eu]:
schannel: SEC_E_UNTRUSTED_ROOT (0x80090325) - The certificate chain was issued by an authority that is not trusted.",FALSE
"csv/hazard.csv",10,"Humidex future","https://cds-beta.climate.copernicus.eu/datasets/sis-extreme-indices-cmip6?tab=download","SSL peer certificate or SSH remote key was not OK [cds-beta.climate.copernicus.eu]:
schannel: SEC_E_UNTRUSTED_ROOT (0x80090325) - The certificate chain was issued by an authority that is not trusted.",FALSE
"csv/hazard.csv",11,"Humidex historical","https://cds-beta.climate.copernicus.eu/datasets/sis-extreme-indices-cmip6?tab=download","SSL peer certificate or SSH remote key was not OK [cds-beta.climate.copernicus.eu]:
schannel: SEC_E_UNTRUSTED_ROOT (0x80090325) - The certificate chain was issued by an authority that is not trusted.",FALSE
"csv/hazard.csv",12,"Indoor climate index future","https://cds-beta.climate.copernicus.eu/datasets/sis-extreme-indices-cmip6?tab=download","SSL peer certificate or SSH remote key was not OK [cds-beta.climate.copernicus.eu]:
schannel: SEC_E_UNTRUSTED_ROOT (0x80090325) - The certificate chain was issued by an authority that is not trusted.",FALSE
"csv/hazard.csv",13,"Indoor climate index historical","https://cds-beta.climate.copernicus.eu/datasets/sis-extreme-indices-cmip6?tab=download","SSL peer certificate or SSH remote key was not OK [cds-beta.climate.copernicus.eu]:
schannel: SEC_E_UNTRUSTED_ROOT (0x80090325) - The certificate chain was issued by an authority that is not trusted.",FALSE
